beer_id,path
3,./images/preprocessed/Hoegaarden/01f16c53d05f985a26c3525ded2b661db9089d0578a7bb033b6bf94e272728ce.jpg
3,./images/preprocessed/Hoegaarden/02a859e09c452fe10cd39825218bd5cffcc7f8950530ed5b895934e00e4a3e94.jpg
3,./images/preprocessed/Hoegaarden/0726147d19a75587ed739b580f3a9199fb725b9b62e6bd78467830386fbca313.png
3,./images/preprocessed/Hoegaarden/087fc2ee0c622a2674906ca1ea642a49697cb1d08d6814686399805f17a8f5c7.jpg
3,./images/preprocessed/Hoegaarden/09132710884b618360c4baa880ca77be67f9a3414c535fe5700a48cfa43d64f4.jpg
3,./images/preprocessed/Hoegaarden/0a6ebd8abf06b79fb3cb6fe6fb9c19e5632658967214b2862aa516a4192e267c.jpg
3,./images/preprocessed/Hoegaarden/0c1b50743254781df1a43384c4db6bafa367e5c64caf06005c182235ed18ca03.jpg
3,./images/preprocessed/Hoegaarden/0d65756dea1fcba757fb83394615b64e1b1cfd36b9260b0334ca85b3eeb5bd29.jpg
3,./images/preprocessed/Hoegaarden/0ebac080d4408127e50f21759df2b2042bf2dd3c75b9c52b21f761237688687a.jpg
3,./images/preprocessed/Hoegaarden/0f7e1f0aff53875ca1e63cfb22d750cc8222e809bac037c346c1d658b82e294f.jpg
3,./images/preprocessed/Hoegaarden/0f980d11ed809ec2debf9a6d9ec2d66b7b1ebd8276706aeff97cfbe655888e0a.jpg
3,./images/preprocessed/Hoegaarden/101ac9d09fd35bab0ee2ced0e182fc3cf34b7be2122ae05387de6ecaf17cf14e.jpg
3,./images/preprocessed/Hoegaarden/107a8be2397de4c7bcd512986465a19bd655731ef76c81a6b106b75b30b6a332.jpg
3,./images/preprocessed/Hoegaarden/12975db627d79f6d4f6f7151be105fc29ed675babc03b3cf80f625502afd213a.png
3,./images/preprocessed/Hoegaarden/16490e7ee74f5b48b3528a8ba1c7ee52bf1fa0509a46af5980a3afc27eaf2308.jpg
3,./images/preprocessed/Hoegaarden/18ad70f1510972d130ade55b6978a2dc7e124e4bbcdd0e4c99b324f3e44f6acd.png
3,./images/preprocessed/Hoegaarden/198d1a004a1b342f9aa548ee13076c66e9d09358bc27a446a636911fc33fc654.jpg
3,./images/preprocessed/Hoegaarden/19cb3d0064c73007f8eab14ae69625c3adfb447fa318d593080619d2e1e429b8.jpg
3,./images/preprocessed/Hoegaarden/1a9c49d26e167f4a0710deb822ff30f84c9abb789bc2627bf41126869c3fafab.jpg
3,./images/preprocessed/Hoegaarden/1bc6699d89e675acbd570f2ce02f62f7d74c953021abb0f3b2c528c33094e5ae.jpg
3,./images/preprocessed/Hoegaarden/1c43cbd85262c7df1774f346e89156b2c6ae0f2b99c51cfe2c02835f5b19b7f5.jpg
3,./images/preprocessed/Hoegaarden/1c55c2c01ae0be154a9fda84b533c3a0582cd0f32fea3a8dfe7604ada413be70.jpg
3,./images/preprocessed/Hoegaarden/1cfd377fa6b7acc2f0c795c907c0155151d537f01171c84ea55dca9daa5bda43.jpg
